id,namn,massa,uppskjutning,plats,eol,url
1986-19B,Viking,286,1986-02-22,French Guyana,1987-05-17,https://sv.wikipedia.org/wiki/Viking_(satellit)
1989-67A,Sirius 1,660,1989-08-27,USA,2003-05-01,https://sv.wikipedia.org/wiki/SES_Sirius
1992-64A,Freja,256,1992-10-06,China,1996-10-14,https://sv.wikipedia.org/wiki/Freja_(satellit)
1998-72B,Astrid 2,30,1998-12-10,Russia,1999-07-24,https://sv.wikipedia.org/wiki/Astrid_(satellit)
2000-75C,Munin,6,2000-11-21,USA,2001-02-12,https://sv.wikipedia.org/wiki/Munin_(satellit)
2001-07A,Odin,250,2001-02-20,Russia,,https://sv.wikipedia.org/wiki/Odin_(satellit)
